agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 7708,"Department of Employment, Education and Training, Sydney Eastern Area Office, Haymarket [New South Wales]",Local Office,New South Wales,1990-03-01,1994-07-01,1990-03-01,1994-07-01
CA 7709,"Department of Employment, Education and Training, South Western Sydney Area Office, Liverpool [New South Wales]",Local Office,New South Wales,1990-03-01,1994-07-01,1990-03-01,1994-07-01
CA 7710,"Department of Employment, Education and Training, Northern NSW Area Office, Lismore [New South Wales]",Local Office,New South Wales,1990-03-01,1994-07-01,1990-03-01,1994-07-01
CA 7711,"Department of Employment, Education and Training, State Office [II], Sydney [New South Wales]",Local Office,New South Wales,1990-03-01,1994-07-01,1990-03-01,1994-07-01
CA 7721,"Department of Employment, Education and Training, ACT/Southern NSW Area Office, Canberra [ACT]",Regional or State Office,Australian Capital Territory,1990-03-01,1994-07-01,1990-03-01,1994-07-01
CA 7755,"Department of Employment, Education and Training, Central Queensland Area Office, Rockhampton [Queensland]",Regional or State Office,Queensland,,1994-07-01,1990-01-31,1994-07-01
CA 7756,"Aboriginal Employment and Education Development Unit/ (from Jul 1992) Aboriginal Education Development Unit/ (from Dec 1992) Aboriginal and Torres Strait Islander Education Unit, Rockhampton [Queensland]",Local Office,Queensland,,1998-04-30,1990-01-31,1998-04-30
CA 7769,"Department of Employment, Education and Training, Area Central Office (Perth), Western Australia",Regional or State Office,Western Australia,1990-03-01,1994-07-01,1990-03-01,1994-07-01
CA 7770,"Department of Employment, Education and Training, Area South Office, (Perth) Western Australia",Regional or State Office,Western Australia,1990-03-01,1994-07-01,1990-03-01,1994-07-01
CA 7771,"Department of Employment, Education and Training, Area North Office (Broome), Western Australia",Regional or State Office,Western Australia,1990-03-01,1994-07-01,1990-03-01,1994-07-01
CA 7891,"Ministerial Council on Education, Employment, Training and Youth Affairs",Intergovernmental agency,Victoria,1994-01-01,2009-07-01,1994-01-01,2009-07-01
CA 7915,"Commonwealth Office of Education, Branch Office, Northern Territory",Regional or State Office,Northern Territory,1945-11-08,1967-12-31,1945-11-08,1967-12-31
CA 7960,"Department of Employment, Education and Training, Area Office, South Australia North",Regional or State Office,South Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7961,"Department of Employment, Education and Training, Area Office, South Australia South",Regional or State Office,South Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7978,"Department of Employment, Education and Training, Area Office, Illawarra and Australian Capital Territory",Regional or State Office,New South Wales,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7979,"Department of Employment, Education and Training, Area Office, Western New South Wales",Regional or State Office,New South Wales,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7980,"Department of Employment, Education and Training, Area Office, Hunter/ Northern [New South Wales]",Regional or State Office,New South Wales,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7981,"Department of Employment, Education and Training, Area Office, Sydney City Eastern",Regional or State Office,New South Wales,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7982,"Department of Employment, Education and Training, Area Office, Western Sydney",Regional or State Office,New South Wales,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7983,"Department of Employment, Education and Training, Area Office, South Western Sydney",Regional or State Office,New South Wales,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7984,"Department of Employment, Education and Training, Area Office, Melbourne City West",Regional or State Office,Victoria,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7985,"Department of Employment, Education and Training, Area Office, Melbourne East",Regional or State Office,Victoria,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7986,"Department of Employment, Education and Training, Area Office, Victoria Country",Regional or State Office,Victoria,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7987,"Department of Employment, Education and Training, Area Office, Victoria South East",Regional or State Office,Victoria,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7988,"Department of Employment, Education and Training, Area Office, Tasmania",Regional or State Office,Tasmania,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7989,"Department of Employment, Education and Training, Area Office, Western Australia North",Regional or State Office,Western Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7990,"Department of Employment, Education and Training, Area Office, Western Australia South",Regional or State Office,Western Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7991,"Department of Employment, Education and Training, Area Office, Northern Australia",Regional or State Office,Northern Territory,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7992,"Department of Employment, Education and Training, Area Office, Queensland North, Townsville [Queensland]",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7993,"Department of Employment, Education and Training, Area Office, Queensland Central",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 7994,"Department of Employment, Education and Training, Area Office, Coastal",Regional or State Office,"New South Wales, Queensland",1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8084,"Department of Employment, Education and Training, Katherine Regional Office, Katherine [Northern Territory]",Local Office,Northern Territory,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8085,"Department of Employment, Education and Training, Country Service Centre, Nhulunbuy [Northern Territory]",Local Office,Northern Territory,1992-08-01,1994-07-01,1992-08-01,1994-07-01
CA 8086,"Department of Employment, Education and Training, East Arnhem Regional Office, Nhulunbuy [Northern Territory]",Local Office,Northern Territory,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8087,"Department of Employment, Education and Training, Country Service Centre, Tennant Creek [Northern Territory]",Local Office,Northern Territory,1992-08-01,1994-07-01,1992-08-01,1994-07-01
CA 8088,"Department of Employment, Education and Training, Barkly Regional Office, Tennant Creek [Northern Territory]",Local Office,Northern Territory,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8089,"Department of Employment, Education and Training, Alice Springs Regional Office [Northern Territory]",Regional or State Office,Northern Territory,1992-08-01,1994-07-01,1992-08-01,1994-07-01
CA 8090,"Department of Employment, Education and Training, Central Australia Regional Office, Alice Springs [Northern Territory]",Local Office,Northern Territory,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8091,"Department of Employment, Education and Training, Palmerston [Northern Territory]",Local Office,Northern Territory,1992-08-01,1994-07-01,1992-08-01,1994-07-01
CA 8092,"Department of Employment, Education and Training, Darwin Regional Office",Regional or State Office,Northern Territory,1992-08-01,1996-03-11,1992-08-01,1996-03-11
CA 8093,"Department of Employment, Education and Training, Casuarina [Northern Territory]",Local Office,Northern Territory,1992-08-01,1994-07-01,1992-08-01,1994-07-01
CA 8094,"Department of Employment, Education and Training, Casuarina Regional Office, Casuarina [Northern Territory]",Local Office,Northern Territory,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8095,"Department of Employment, Education and Training, Darwin Region, Palmerston Branch Office [Northern Territory]",Local Office,Northern Territory,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8096,"Department of Employment, Education and Training, Far North West Regional Office, Broome [Western Australia]",Local Office,Western Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8097,"Department of Employment, Education and Training, Far North West Region, Derby Branch Office [Western Australia]",Local Office,Western Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8098,"Department of Employment, Education and Training, Far North West Region, Kununurra Branch Office [Western Australia]",Local Office,Western Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8099,"Department of Employment, Education and Training, Far North West Region, Port Hedland Branch Office [Western Australia]",Local Office,Western Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8100,"Department of Employment, Education and Training, Far North West Region, Karratha Branch Office [Western Australia]",Local Office,Western Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8167,"Department of Employment, Education and Training, Central West Regional Office, Emerald [Queensland]",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8168,"Department of Employment, Education and Training, Branch Office, Longreach [Queensland]",Local Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8169,"Department of Employment, Education and Training, Far North Queensland Regional Office, Cairns [Queensland]",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8170,"Department of Employment, Education and Training, Branch Office, Westcourt [Queensland]",Local Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8171,"Department of Employment, Education and Training, Branch Office, Innisfail [Queensland]",Local Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8172,"Department of Employment, Education and Training, Gladstone Regional Office, Gladstone [Queensland]",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8173,"Department of Employment, Education and Training, Mount Isa Regional Office, Mount Isa [Queensland]",Regional or State Office,Queensland,1994-07-01,1998-04-30,1994-07-01,1998-04-30
CA 8174,"Department of Employment, Education and Training, Mackay Regional Office, Mackay [Queensland]",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8175,"Department of Employment, Education and Training, Branch Office, Cannonvale [Queensland]",Local Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8177,"Department of Employment, Education and Training, Rockhampton Regional Office, Rockhampton [Queensland]",Regional or State Office,Queensland,1994-07-01,1998-04-30,1994-07-01,1998-04-30
CA 8183,"Department of Employment, Education and Training, Tablelands Regional Office, Atherton [Queensland]",Regional or State Office,Queensland,1994-07-01,1998-04-30,1994-07-01,1998-04-30
CA 8245,"Department of Employment, Education, Training and Youth Affairs, National Office",Department of State,Australian Capital Territory,1996-03-11,1998-10-21,1996-03-11,1998-10-21
CA 8325,"Department of Employment, Education, Training and Youth Affairs, Area Office, Queensland Central",Regional or State Office,Queensland,1996-03-11,1997-07-01,1996-03-11,1997-07-01
CA 8328,"Department of Employment, Education, Training and Youth Affairs, Area Office North, Western Australia",Local Office,Western Australia,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8329,"Department of Employment, Education, Training and Youth Affairs, Area Office South, Western Australia",Local Office,Western Australia,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8335,"Department of Employment, Education, Training and Youth Affairs, Area Office, Northern Australia",Regional or State Office,Northern Territory,1996-03-11,1998-10-21,1996-03-11,1998-10-21
CA 8336,"Department of Employment, Education, Training and Youth Affairs, Area Office, Melbourne City West",Regional or State Office,Victoria,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8337,"Department of Employment, Education, Training and Youth Affairs, Area Office, Melbourne East",Regional or State Office,Victoria,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8338,"Department of Employment, Education, Training and Youth Affairs, Area Office, Victoria Country",Regional or State Office,Victoria,1996-03-11,1998-04-30,1996-03-11,1998-10-21
CA 8339,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area South East Victoria",Regional or State Office,Victoria,1996-03-11,1998-04-30,1996-03-11,1998-10-21
CA 8340,"Department of Employment, Education, Training and Youth Affairs, Area Office North, South Australia",Regional or State Office,South Australia,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8341,"Department of Employment, Education, Training and Youth Affairs, Area Office South, South Australia",Regional or State Office,South Australia,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8346,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area Western Australia",Local Office,Western Australia,1996-08-05,1998-04-30,1996-08-05,1998-04-30
CA 8348,"Department of Employment, Education, Training and Youth Affairs, Area Office, Illawarra and Australian Capital Territory",Regional or State Office,New South Wales,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8349,"Department of Employment, Education, Training and Youth Affairs, Area Office, Western New South Wales",Regional or State Office,New South Wales,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8350,"Department of Employment, Education, Training and Youth Affairs, Area Office, Hunter/Northern [New South Wales]",Regional or State Office,New South Wales,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8351,"Department of Employment, Education, Training and Youth Affairs, Area Office, Sydney City Eastern",Regional or State Office,New South Wales,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8352,"Department of Employment, Education, Training and Youth Affairs, Area Office, Western Sydney",Regional or State Office,New South Wales,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8353,"Department of Employment, Education, Training and Youth Affairs, Area Office, South Western Sydney",Regional or State Office,New South Wales,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8359,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area Melbourne North West",Regional or State Office,Victoria,1996-08-05,1998-04-30,1996-08-05,1998-10-21
CA 8360,"Department of Employment, Education, Training and Youth Affairs, Area Office, Tasmania",Regional or State Office,Tasmania,1996-03-11,1997-12-31,1996-03-11,1997-12-31
CA 8363,"Department of Employment, Education, Training and Youth Affairs, Area Office, Coastal",Regional or State Office,Queensland,1996-03-11,1997-07-01,1996-03-11,1997-07-01
CA 8365,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area South Australia",Regional or State Office,South Australia,1996-08-05,1998-04-30,1996-08-05,1998-04-30
CA 8370,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area Sydney Metropolitan South",Regional or State Office,New South Wales,1996-08-05,1998-04-30,1996-08-05,1998-04-30
CA 8371,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area Sydney West and North",Regional or State Office,New South Wales,1996-08-05,1998-04-30,1996-08-05,1998-04-30
CA 8374,"Department of Employment, Education, Training and Youth Affairs, Area Office, Queensland North, Townsville [Queensland]",Regional or State Office,Queensland,1996-03-11,1998-04-30,1996-03-11,1998-10-21
CA 8377,"Department of Employment, Education, Training and Youth Affairs, Kimberley Regional Office, Broome [Western Australia]",Regional or State Office,Northern Territory,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8378,"Department of Employment, Education, Training and Youth Affairs, Derby Branch Office [Western Australia]",Local Office,Northern Territory,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8379,"Department of Employment, Education, Training and Youth Affairs, Kununurra Branch Office [Western Australia]",Local Office,Northern Territory,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8380,"Department of Employment Education, Training and Youth Affairs, Pilbara Regional Office, Port Hedland [Western Australia]",Regional or State Office,Northern Territory,1996-03-11,1998-10-21,1996-03-11,1998-10-21
CA 8381,"Department of Employment, Education, Training and Youth Affairs, Karratha Branch Office [Western Australia]",Local Office,Northern Territory,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8426,"Centrelink, National Office",Head Office,Australian Capital Territory,1997-07-01,,1997-07-01,
CA 8428,"Centrelink, Area Office, Brisbane",Regional or State Office,Queensland,1997-07-01,,1997-07-01,
CA 8430,"Centrelink, Area East Coast - Sydney, New South Wales",Regional or State Office,New South Wales,1997-07-01,,1997-07-01,
CA 8431,"Centrelink, Area East Coast - Wollongong, New South Wales",Regional or State Office,New South Wales,1997-07-01,,1997-07-01,
CA 8433,"Centrelink, Area Office Hunter, New South Wales",Regional or State Office,New South Wales,1997-07-01,,1997-07-01,
CA 8434,"Centrelink, Area Office South Metropolitan, New South Wales",Regional or State Office,New South Wales,1997-07-01,,1997-07-01,
CA 8435,"Centrelink, Area Office South West, New South Wales",Regional or State Office,New South Wales,1997-07-01,,1997-07-01,
CA 8436,"Centrelink, Area Office West, New South Wales",Regional or State Office,New South Wales,1997-07-01,,1997-07-01,
CA 8437,"Centrelink, Area Support Office, South Australia",Regional or State Office,South Australia,1997-07-01,,1997-07-01,
CA 8439,"Department of Social Security, Area West Australia",Regional or State Office,Western Australia,1996-09-19,1997-07-01,1997-07-01,1997-07-01
CA 8440,"Centrelink, Area Support Office, Western Australia",Regional or State Office,Western Australia,1997-07-01,,1997-07-01,
CA 8441,"Centrelink, Area Office West, Victoria",Regional or State Office,Victoria,1997-07-01,,1997-07-01,
CA 8442,"Centrelink, Area office South, Victoria",Regional or State Office,Victoria,1997-07-01,,1997-07-01,
CA 8443,"Centrelink, Area Office North, Victoria",Regional or State Office,Victoria,1997-07-01,1999-05-31,1997-07-01,1999-05-31
CA 8444,"Centrelink, Area office North-Central, Victoria",Regional or State Office,Victoria,1997-07-01,,1997-07-01,
CA 8445,"Centrelink, Area Office, North Queensland",Regional or State Office,Queensland,1997-07-01,,1997-07-01,
CA 8446,"Centrelink, Area Support Office, North Australia",Regional or State Office,Northern Territory,1997-07-01,,1997-07-01,
CA 8447,"Centrelink, Area Office, Tasmania",Regional or State Office,Tasmania,1997-07-01,,1997-07-01,
CA 8464,"Centrelink, Regional Office, Glenorchy [Tasmania]",Local Office,Tasmania,1997-07-01,,1997-07-01,
CA 8465,"Centrelink, Regional Office, Bellerive [Tasmania]",Local Office,Tasmania,1997-07-01,,1997-07-01,
CA 8466,"Centrelink, International Services, Hobart, Tasmania",Local Office,Tasmania,1997-07-01,,1997-07-01,
CA 8467,"Centrelink, Regional Office, Hobart, Tasmania",Regional or State Office,Tasmania,1997-07-01,,1997-07-01,
CA 8475,"Centrelink, Regional Office, Burnie, Tasmania",Local Office,Tasmania,1997-07-01,,1997-07-01,
CA 8476,"Centrelink, Regional Office, Devonport, Tasmania",Local Office,Tasmania,1997-07-01,,1997-07-01,
CA 8477,"Centrelink, Regional Office, Queenstown, Tasmania",Local Office,Tasmania,1997-07-01,,1997-07-01,
CA 8483,"Centrelink, Area Office, Pacific Central",Regional or State Office,Queensland,1997-07-01,,1997-07-01,
CA 8493,"Centrelink, Student Services, Tasmania",Regional or State Office,Tasmania,1997-07-01,,1997-07-01,
CA 8504,"Department of Employment, Education, Training and Youth Affairs, New South Wales State Office",Regional or State Office,New South Wales,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8505,"Department of Employment, Education, Training and Youth Affairs, Northern Territory State Office",Regional or State Office,Northern Territory,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8507,"Department of Employment, Education, Training and Youth Affairs, South Australia State Office",Regional or State Office,South Australia,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8508,"Department of Employment, Education, Training and Youth Affairs, Tasmania State Office",Regional or State Office,Tasmania,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8509,"Department of Employment, Education, Training and Youth Affairs, Victoria State Office",Regional or State Office,Victoria,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8510,"Department of Employment, Education, Training and Youth Affairs, Western Australia State Office",Regional or State Office,Western Australia,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8531,"Ministerial Council on Vocational Education, Employment and Training",Intergovernmental agency,Victoria,1990-11-22,1994-01-01,1990-11-22,1994-01-01
CA 8532,"Vocational Education, Employment and Training Advisory Committee",Intergovernmental agency,Victoria,1990-11-22,1994-01-01,1990-11-22,1994-01-01
CA 8556,"Department of Employment, Education, Training and Youth Affairs, Queensland State Office",Regional or State Office,Queensland,1997-07-01,1998-10-21,1997-07-01,1998-10-21
CA 8612,"Department of Education, Training and Youth Affairs, Central Office",Department of State,Australian Capital Territory,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8627,"Department of Education, Training and Youth Affairs, Queensland State Office",Regional or State Office,Queensland,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8631,"Department of Education, Training and Youth Affairs, Western
Australia State Office",Regional or State Office,Western Australia,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8632,"Department of Education, Training and Youth Affairs, New South Wales State Office",Regional or State Office,New South Wales,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8634,"Department of Education, Training and Youth Affairs, Northern Territory Office",Regional or State Office,Northern Territory,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8641,"Department of Education, Training and Youth Affairs, Victorian State Office",Regional or State Office,Victoria,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8651,"Department of Education, Training and Youth Affairs, South Australian State Office",Regional or State Office,South Australia,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8653,"Department of Education, Training and Youth Affairs, Tasmania State Office",Regional or State Office,Tasmania,1998-10-21,2001-11-26,1998-10-21,2001-11-26
CA 8671,"Centrelink, Regional Office, Launceston [Tasmania]",Local Office,Tasmania,1997-07-01,,1997-07-01,
CA 8674,"Senate References Committee on Employment, Workplace Relations, Small Business and Education",Head Office,Australian Capital Territory,1994-10-10,,1994-10-10,1998-11-11
CA 8675,"Senate Legislation Committee on Employment, Workplace Relations, Small Business and Education",Head Office,Australian Capital Territory,1994-10-10,,1994-10-10,
CA 8870,"Department of Education, Science and Training, Central Office",Department of State,Australian Capital Territory,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8893,"Department of Education, Science and Training, Queensland State Office",Local Office,Queensland,2001-11-26,2007-12-03,2001-11-26,2007-12-03
CA 8899,"Department of Education, Science and Training, South Australian State Office",Regional or State Office,South Australia,2001-11-26,2009-12-03,2001-11-26,2009-12-03
