agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 8100,"Department of Employment, Education and Training, Far North West Region, Karratha Branch Office [Western Australia]",Local Office,Western Australia,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8167,"Department of Employment, Education and Training, Central West Regional Office, Emerald [Queensland]",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8168,"Department of Employment, Education and Training, Branch Office, Longreach [Queensland]",Local Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8169,"Department of Employment, Education and Training, Far North Queensland Regional Office, Cairns [Queensland]",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8170,"Department of Employment, Education and Training, Branch Office, Westcourt [Queensland]",Local Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8171,"Department of Employment, Education and Training, Branch Office, Innisfail [Queensland]",Local Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8172,"Department of Employment, Education and Training, Gladstone Regional Office, Gladstone [Queensland]",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8173,"Department of Employment, Education and Training, Mount Isa Regional Office, Mount Isa [Queensland]",Regional or State Office,Queensland,1994-07-01,1998-04-30,1994-07-01,1998-04-30
CA 8174,"Department of Employment, Education and Training, Mackay Regional Office, Mackay [Queensland]",Regional or State Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8175,"Department of Employment, Education and Training, Branch Office, Cannonvale [Queensland]",Local Office,Queensland,1994-07-01,1996-03-11,1994-07-01,1996-03-11
CA 8177,"Department of Employment, Education and Training, Rockhampton Regional Office, Rockhampton [Queensland]",Regional or State Office,Queensland,1994-07-01,1998-04-30,1994-07-01,1998-04-30
CA 8183,"Department of Employment, Education and Training, Tablelands Regional Office, Atherton [Queensland]",Regional or State Office,Queensland,1994-07-01,1998-04-30,1994-07-01,1998-04-30
CA 8226,"Department of Labour and National Service, Industrial Welfare Division, Sydney",Local Office,New South Wales,,,1941-01-01,1943-01-01
CA 8245,"Department of Employment, Education, Training and Youth Affairs, National Office",Department of State,Australian Capital Territory,1996-03-11,1998-10-21,1996-03-11,1998-10-21
CA 8283,"Industrial Relations Court of Australia, Victoria District Registry",Judicial Court or Tribunal,Victoria,1994-03-30,1997-05-26,1994-03-30,1997-05-23
CA 8325,"Department of Employment, Education, Training and Youth Affairs, Area Office, Queensland Central",Regional or State Office,Queensland,1996-03-11,1997-07-01,1996-03-11,1997-07-01
CA 8328,"Department of Employment, Education, Training and Youth Affairs, Area Office North, Western Australia",Local Office,Western Australia,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8329,"Department of Employment, Education, Training and Youth Affairs, Area Office South, Western Australia",Local Office,Western Australia,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8335,"Department of Employment, Education, Training and Youth Affairs, Area Office, Northern Australia",Regional or State Office,Northern Territory,1996-03-11,1998-10-21,1996-03-11,1998-10-21
CA 8336,"Department of Employment, Education, Training and Youth Affairs, Area Office, Melbourne City West",Regional or State Office,Victoria,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8337,"Department of Employment, Education, Training and Youth Affairs, Area Office, Melbourne East",Regional or State Office,Victoria,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8338,"Department of Employment, Education, Training and Youth Affairs, Area Office, Victoria Country",Regional or State Office,Victoria,1996-03-11,1998-04-30,1996-03-11,1998-10-21
CA 8339,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area South East Victoria",Regional or State Office,Victoria,1996-03-11,1998-04-30,1996-03-11,1998-10-21
CA 8340,"Department of Employment, Education, Training and Youth Affairs, Area Office North, South Australia",Regional or State Office,South Australia,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8341,"Department of Employment, Education, Training and Youth Affairs, Area Office South, South Australia",Regional or State Office,South Australia,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8346,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area Western Australia",Local Office,Western Australia,1996-08-05,1998-04-30,1996-08-05,1998-04-30
CA 8348,"Department of Employment, Education, Training and Youth Affairs, Area Office, Illawarra and Australian Capital Territory",Regional or State Office,New South Wales,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8349,"Department of Employment, Education, Training and Youth Affairs, Area Office, Western New South Wales",Regional or State Office,New South Wales,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8350,"Department of Employment, Education, Training and Youth Affairs, Area Office, Hunter/Northern [New South Wales]",Regional or State Office,New South Wales,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8351,"Department of Employment, Education, Training and Youth Affairs, Area Office, Sydney City Eastern",Regional or State Office,New South Wales,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8352,"Department of Employment, Education, Training and Youth Affairs, Area Office, Western Sydney",Regional or State Office,New South Wales,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8353,"Department of Employment, Education, Training and Youth Affairs, Area Office, South Western Sydney",Regional or State Office,New South Wales,1996-03-11,1996-08-05,1996-03-11,1996-08-05
CA 8359,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area Melbourne North West",Regional or State Office,Victoria,1996-08-05,1998-04-30,1996-08-05,1998-10-21
CA 8360,"Department of Employment, Education, Training and Youth Affairs, Area Office, Tasmania",Regional or State Office,Tasmania,1996-03-11,1997-12-31,1996-03-11,1997-12-31
CA 8363,"Department of Employment, Education, Training and Youth Affairs, Area Office, Coastal",Regional or State Office,Queensland,1996-03-11,1997-07-01,1996-03-11,1997-07-01
CA 8365,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area South Australia",Regional or State Office,South Australia,1996-08-05,1998-04-30,1996-08-05,1998-04-30
CA 8370,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area Sydney Metropolitan South",Regional or State Office,New South Wales,1996-08-05,1998-04-30,1996-08-05,1998-04-30
CA 8371,"Department of Employment, Education, Training and Youth Affairs, Area Office, Area Sydney West and North",Regional or State Office,New South Wales,1996-08-05,1998-04-30,1996-08-05,1998-04-30
CA 8374,"Department of Employment, Education, Training and Youth Affairs, Area Office, Queensland North, Townsville [Queensland]",Regional or State Office,Queensland,1996-03-11,1998-04-30,1996-03-11,1998-10-21
CA 8377,"Department of Employment, Education, Training and Youth Affairs, Kimberley Regional Office, Broome [Western Australia]",Regional or State Office,Northern Territory,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8378,"Department of Employment, Education, Training and Youth Affairs, Derby Branch Office [Western Australia]",Local Office,Northern Territory,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8379,"Department of Employment, Education, Training and Youth Affairs, Kununurra Branch Office [Western Australia]",Local Office,Northern Territory,1996-03-11,1998-04-30,1996-03-11,1998-04-30
CA 8380,"Department of Employment Education, Training and Youth Affairs, Pilbara Regional Office, Port Hedland [Western Australia]",Regional or State Office,Northern Territory,1996-03-11,1998-10-21,1996-03-11,1998-10-21
