agency_id,agency_title,agency_status,location,agency_start,agency_end,function_start,function_end
CA 7,"Department of External Affairs [I], Melbourne",Department of State,Victoria,1901-01-01,1916-11-14,1901-01-01,1916-11-14
CA 10,"Department of Trade and Customs, Central Office",Department of State,"Australian Capital Territory, Victoria",1901-01-01,1956-01-11,1947-01-01,1956-01-11
CA 12,Prime Minister's Department,Department of State,Australian Capital Territory,1911-07-01,1971-03-12,1923-03-14,1925-01-16
CA 15,"Department of Home and Territories, Central Office",Department of State,Victoria,1916-11-14,1928-12-10,1916-11-14,1928-12-10
CA 20,"Department of Markets and Migration, Central Administration",Department of State,Victoria,1925-01-16,1928-01-19,1925-01-16,1928-01-19
CA 21,"Department of Markets [I], Central Office",Department of State,Victoria,1928-01-19,1928-12-10,1928-01-19,1928-12-10
CA 24,"Department of Home Affairs [II], (Central Office)",Department of State,Australian Capital Territory,1928-12-10,1932-04-12,1928-12-10,1932-12-04
CA 27,"Department of the Interior [I], Central Administration",Department of State,Australian Capital Territory,1932-04-12,1939-04-26,1932-04-12,1939-04-26
CA 31,"Department of the Interior [II], Central Office",Department of State,Australian Capital Territory,1939-04-26,1972-12-19,1939-04-26,1947-03-12
CA 51,"Department of Immigration, Central Office",Department of State,Australian Capital Territory,1945-07-13,1974-06-12,1945-07-13,1974-06-12
CA 243,Development and Migration Commission,Regional or State Office,Victoria,1926-10-01,1930-07-01,1926-10-01,1930-07-01
CA 299,Aliens Classification and Advisory Committee,Regional or State Office,Australian Capital Territory,1942-09-14,,1942-09-14,1947-12-31
CA 354,Migration Committee,Regional or State Office,Australian Capital Territory,1943-10-20,1945-08-31,1943-10-20,1945-08-31
CA 413,"Aliens Advisory Committee, New South Wales",Regional or State Office,New South Wales,1943-01-01,1947-12-31,1943-01-01,1947-12-31
CA 510,Commonwealth Immigration Advisory Council,Regional or State Office,Australian Capital Territory,1947-02-17,1974-08-16,1947-02-17,1974-08-16
CA 511,Commonwealth Immigration Planning Council,Head Office,Australian Capital Territory,1949-01-01,1975-09-30,1949-01-01,1975-09-30
CA 674,"Aliens Tribunal, New South Wales, No 1 Tribunal",Judicial Court or Tribunal,New South Wales,1940-12-12,1946-12-31,1940-12-12,1946-12-31
CA 759,"Department of Immigration, Northern Territory Branch",Regional or State Office,Northern Territory,,1974-06-12,1948-05-06,1974-06-12
CA 837,"Development Branch, Prime Minister's Department",Head Office,Australian Capital Territory,1930-07-01,1937-03-31,1930-07-01,1937-03-31
CA 957,"Department of Immigration, New South Wales Branch",Regional or State Office,New South Wales,1945-11-01,1979-06-12,1945-11-01,1974-06-12
CA 958,"Department of Immigration, Queensland Branch",Regional or State Office,Queensland,1945-12-06,1974-06-12,1945-12-06,1974-06-12
CA 959,"Department of Immigration, South Australia Branch",Regional or State Office,South Australia,1946-08-29,1974-06-12,1946-08-29,1974-06-12
CA 960,"Department of Immigration, Tasmanian Branch",Regional or State Office,Tasmania,1946-01-01,1974-06-12,1946-01-01,1974-06-12
CA 961,"Department of Immigration, Victorian Branch",Regional or State Office,Victoria,1945-11-01,1974-06-12,1945-11-01,1974-06-12
CA 962,"Department of Immigration, Western Australian Branch",Regional or State Office,Western Australia,1945-11-01,1974-06-12,1945-11-01,1974-06-12
CA 964,Commonwealth Immigration Publicity Council,Head Office,Australian Capital Territory,1962-05-01,1975-02-28,1962-05-01,1975-02-28
CA 972,"Immigration and Passports Office (Section), Victoria",Local Office,Victoria,1938-01-01,1945-12-31,1938-01-01,1945-12-31
CA 1390,"Australian Migration Office, Cologne [Federal Republic of Germany]",Regional or State Office,Overseas,1948-12-06,1983-08-31,1948-12-06,1983-08-31
CA 1452,"Migrant Reception and Training Centre, Bonegilla [Victoria]",Local Office,Victoria,1947-12-08,1971-12-17,1947-12-08,1971-12-17
CA 1697,"Australian Migration Office, Sliema [Malta]",Regional or State Office,Overseas,1961-09-04,1989-02-01,1961-09-04,1989-02-01
CA 1769,"Department of Labor and Immigration, Central Office",Department of State,Victoria,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 1775,"Immigration Group, Department of Labor and Immigration, Central Office",Head Office,Australian Capital Territory,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 1812,"Immigration Group, Department of Labor and Immigration, Regional Administration, Victoria",Regional or State Office,Victoria,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 1839,"Immigration Group, Department of Labor and Immigration, Tasmania",Regional or State Office,Tasmania,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 1859,"Labor Group, Department of Labor and Immigration, Regional Administration, Tasmania",Regional or State Office,Tasmania,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 1880,"Labor Group, Department of Labor and Immigration, Regional Administration, Victoria",Regional or State Office,Victoria,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 1955,"Department of Immigration and Ethnic Affairs [I], Central Office",Department of State,Australian Capital Territory,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 1968,"Department of Immigration and Ethnic Affairs [I], Regional Administration, New South Wales",Regional or State Office,New South Wales,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 1983,Commissioner of Crown Lands and Immigration,Intergovernmental agency,South Australia,1856-01-01,1892-10-31,1856-01-01,1892-10-31
CA 1995,"Immigration Group, Department of Labor and Immigration, Regional Administration, New South Wales",Regional or State Office,New South Wales,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 1996,"Labor Group, Department of Labor and Immigration, Regional Administration, New South Wales",Regional or State Office,New South Wales,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2047,"Migrant Workers' Accommodation Division, Central Office, Department of Labour and National Service",Head Office,New South Wales,1948-01-01,1952-12-31,1948-01-01,1952-12-31
CA 2048,"Department of Immigration and Ethnic Affairs [I], Regional Administration, Tasmania",Regional or State Office,Tasmania,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2050,"Department of Immigration and Ethnic Affairs [I], Regional Office, Victoria",Regional or State Office,Victoria,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2078,Senate Select Committee on Civil Rights of Migrant Australians,Head Office,Australian Capital Territory,1973-05-29,1974-04-11,1973-05-29,1974-04-11
CA 2082,Aliens Committee,Head Office,Victoria,1918-09-13,1918-12-24,1918-09-13,1918-12-24
CA 2110,"Immigration Group, Department of Labor and Immigration, Regional Administration, Northern Territory",Regional or State Office,Northern Territory,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2111,"Department of Immigration and Ethnic Affairs [I], Northern Territory Branch",Regional or State Office,Northern Territory,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2148,"Immigration Group, Department of Labor and Immigration, Regional Administration, Queensland",Regional or State Office,Queensland,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2151,"Labor Group, Department of Labor and Immigration, Regional Administration, Queensland",Regional or State Office,Queensland,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2271,"Migrant Information Service, Australian Capital Territory Office",Regional or State Office,Australian Capital Territory,1949-01-01,,1949-01-01,
CA 2318,"Immigration Group, Department of Labor and Immigration, Regional Administration, Western Australia",Regional or State Office,Western Australia,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2319,"Immigration Group, Department of Labor and Immigration, Regional Administration, South Australia",Regional or State Office,South Australia,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2328,"Department of Immigration and Ethnic Affairs [I], Regional Administration, Western Australia",Regional or State Office,Western Australia,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2429,"Department of Immigration and Ethnic Affairs [I], (from 1987) Department of Immigration, Local Government and Ethnic Affairs, Townsville",Local Office,Queensland,1975-12-22,1993-03-24,1975-12-22,1993-03-24
CA 2526,"Department of Immigration, Townsville Branch [Queensland]",Local Office,Queensland,1966-01-01,1974-06-12,1966-01-01,1974-06-12
CA 2527,"Immigration Group, Department of Labor and Immigration, Townsville Branch [Queensland]",Local Office,Queensland,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2561,"Department of Immigration, Regional Office, Wollongong [New South Wales]",Local Office,New South Wales,1973-11-01,1974-06-12,1973-11-01,1974-06-12
CA 2562,"Department of Immigration, Regional Office, Newcastle [New South Wales]",Local Office,New South Wales,1973-11-01,1974-06-12,1973-11-01,1974-06-12
CA 2563,"Immigration Group, Department of Labor and Immigration, Regional Office, Wollongong [New South Wales]",Regional or State Office,New South Wales,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2564,"Immigration Group, Department of Labor and Immigration, Regional Office, Newcastle [New South Wales]",Regional or State Office,New South Wales,1974-06-12,1975-12-22,1974-06-12,1975-12-22
CA 2565,"Department of Immigration and Ethnic Affairs [I], Regional Office, Wollongong [New South Wales]",Regional or State Office,New South Wales,1975-12-22,1987-07-24,1975-12-22,1987-07-24
CA 2566,"Department of Immigration and Ethnic Affairs [I], Regional Office, Newcastle [New South Wales]",Local Office,New South Wales,1975-12-22,1987-07-23,1975-12-22,1987-07-23
CA 2583,"Commonwealth Immigration Office, Melbourne",Regional or State Office,Victoria,1920-10-28,1927-03-01,1920-10-28,1927-03-01
CA 2617,National Population Inquiry,Head Office,Australian Capital Territory,1970-09-01,1978-12-31,1970-09-01,1978-12-31
CA 2672,Review of Post Arrival Programs and Services to Migrants,Head Office,Australian Capital Territory,1977-09-01,1978-04-27,1977-09-01,1978-04-27
CA 3027,"Department of Immigration and Ethnic Affairs [I], Regional Administration, Australian Capital Territory",Regional or State Office,Australian Capital Territory,1980-04-21,1987-07-24,1980-04-21,1987-07-24
CA 3165,Temple Society Trust Fund Advisory Committee,Regional or State Office,Victoria,1949-10-28,1979-02-28,1949-10-28,1979-02-28
CA 3492,"Migrant Resource Centre, Melbourne",Local Office,Victoria,1979-07-04,,1979-07-04,
CA 4486,Committee on Overseas Professional Qualifications,Head Office,Australian Capital Territory,1969-03-27,1984-06-19,1969-03-27,1984-06-19
CA 4487,Office of Overseas Professional Qualifications,Regional or State Office,Australian Capital Territory,1984-06-19,1989-07-26,1984-06-19,1989-07-25
CA 4678,"Department of Immigration and Ethnic Affairs [I], Area Office, Rockhampton [Queensland]",Local Office,Queensland,1981-11-16,1986-09-30,1981-11-16,1986-09-30
CA 5027,"Department of Immigration and Ethnic Affairs [I], (from 1987) Department of Immigration, Local Government and Ethnic Affairs, Area Office, Cairns",Local Office,Queensland,1984-04-01,1993-03-24,1984-04-01,1993-03-24
CA 5043,"Department of Immigration and Ethnic Affairs [I], Area Office, Thursday Island [Queensland]",Local Office,Queensland,1982-09-01,1993-03-24,1982-09-01,1993-03-24
CA 5860,"Department of Immigration, Local Government and Ethnic Affairs, Regional Administration, Queensland",Regional or State Office,Queensland,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 5988,"Department of Immigration, Local Government and Ethnic Affairs, Central Office",Department of State,Australian Capital Territory,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6076,"Department of Immigration, Local Government and Ethnic Affairs, Regional Office, Victoria",Regional or State Office,Victoria,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6346,"Department of Immigration, Local Government and Ethnic Affairs, Regional Office, New South Wales",Regional or State Office,New South Wales,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6589,"Department of Immigration, Local Government and Ethnic Affairs, Regional Administration, South Australia",Regional or State Office,South Australia,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6657,"Australian Migration Office, Abu Dhabi [United Arab Emirates]",Regional or State Office,Overseas,1973-01-01,1986-12-31,1973-01-01,1986-12-31
CA 6658,"Australian Migration Office, Bahrain [Bahrain]",Regional or State Office,Overseas,1973-01-01,1986-12-31,1973-01-01,1986-12-31
CA 6665,"Department of Immigration, Local Government and Ethnic Affairs, Regional Office, Western Australia",Regional or State Office,Western Australia,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6677,"Australian Migration Office, Vancouver [Canada]",Regional or State Office,Overseas,1974-12-16,,1974-12-16,
CA 6735,"Department of Immigration, Local Government and Ethnic Affairs, Regional Office, Northern Territory",Regional or State Office,Northern Territory,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6790,"Department of Immigration, Local Government and Ethnic Affairs, Regional Administration, Australian Capital Territory",Regional or State Office,Australian Capital Territory,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6794,"Australian Migration Office, Capetown [South Africa]",Regional or State Office,Overseas,1973-11-01,1988-03-31,1973-11-01,1988-03-31
CA 6859,"Department of Immigration, Local Government and Ethnic Affairs, Western Regional Office, Parramatta Area [New South Wales]",Local Office,New South Wales,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6905,"Department of Immigration, Local Government and Ethnic Affairs, Wollongong Area Office [New South Wales]",Local Office,New South Wales,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6906,"Department of Immigration, Local Government and Ethnic Affairs, Newcastle Area Office [New South Wales]",Local Office,New South Wales,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 6908,"Department of Immigration, Local Government and Ethnic Affairs, Northern Regional Office, Chatswood [New South Wales]",Local Office,New South Wales,1988-01-01,1993-03-24,1988-01-01,1993-03-24
CA 6909,"Department of Immigration, Local Government and Ethnic Affairs, Southern Regional Office, Rockdale [New South Wales]",Local Office,New South Wales,1988-01-01,1993-03-24,1988-01-01,1993-03-24
CA 6910,"Department of Immigration, Local Government and Ethnic Affairs, Eastern Regional Office, Sydney [New South Wales]",Local Office,New South Wales,1988-01-01,1993-03-24,1988-01-01,1993-03-24
CA 6914,"Department of Immigration, Local Government and Ethnic Affairs, South Western Regional Office, Bankstown [New South Wales]",Local Office,New South Wales,1988-01-01,1993-03-24,1988-01-01,1993-03-24
CA 6953,"Australian Migration Office, Toronto [Canada]",Regional or State Office,Overseas,1974-12-09,,1974-12-09,
CA 6956,"Australian Migration Office, Kuwait [Kuwait]",Regional or State Office,Overseas,1978-11-01,1984-06-30,1978-11-01,1984-12-31
CA 6984,"Department of Immigration, Local Government and Ethnic Affairs, Regional Administration, Tasmania",Regional or State Office,Tasmania,1987-07-24,1993-03-24,1987-07-24,1993-03-24
CA 7087,"Australian Migration Office, Edinburgh [United Kingdom]",Regional or State Office,Overseas,1969-03-03,1994-05-31,1969-03-03,1994-05-31
CA 7485,"Australian Migration Office, Auckland [New Zealand]",Regional or State Office,Overseas,1981-07-01,,1982-05-01,
CA 7622,Joint Standing Committee on Migration,Head Office,Australian Capital Territory,1989-06-01,,1989-06-01,
CA 7662,"Department of Immigration and Ethnic Affairs [II], Central Office",Department of State,Australian Capital Territory,1993-03-24,1996-03-11,1993-03-24,1996-03-11
CA 7668,"Department of Immigration and Ethnic Affairs [II], Regional Office, Western Australia",Regional or State Office,Western Australia,1993-03-24,1996-03-11,1993-03-24,1996-03-11
CA 7683,"Department of Immigration and Ethnic Affairs [II], Regional Office, South Australia",Regional or State Office,South Australia,1993-03-24,1996-03-11,1993-03-24,1996-03-11
CA 7686,"Department of Immigration and Ethnic Affairs [II], Regional Office, New South Wales",Regional or State Office,New South Wales,1993-03-24,1996-03-11,1993-03-24,1996-03-11
CA 7687,"Department of Immigration and Ethnic Affairs [II], Regional Office, Northern Territory",Regional or State Office,Northern Territory,1993-03-24,1996-03-11,1993-03-24,1996-03-11
CA 7692,"Department of Immigration and Ethnic Affairs [II], Regional Office, Queensland",Regional or State Office,Queensland,1993-03-24,1996-03-11,1993-03-24,1996-03-11
CA 7698,"Department of Immigration and Ethnic Affairs [II], Regional Office, Victoria",Regional or State Office,Victoria,1993-03-24,1996-03-11,1993-03-24,1996-03-11
CA 7716,"Department of Immigration and Ethnic Affairs [II], Eastern Regional Office, Sydney [New South Wales]",Local Office,New South Wales,1993-03-24,1996-03-11,1993-03-24,1996-03-11
CA 7717,"Department of Immigration and Ethnic Affairs [II], South Western Regional Office, Bankstown [New South Wales]",Local Office,New South Wales,1993-03-24,1996-03-11,1993-03-24,1996-03-11
